symbol,fiscal_year,dividend_pct
SMB,080-081,0.73
SMB,081-082,0.5
SMFBS,075-076,1.27
SMFBS,076-077,1.05
SMFBS,077-078,1.7
SMFBS,078-079,1.05
SMFBS,080-081,0.26
SMH,077-078,11.5
SMH,080-081,5.63
SMH,081-082,1.11
SMHL,079-080,2.0
SMHL,080-081,0.26
SMHL,081-082,0.26
SMJC,078-079,10.0
SMJC,080-081,0.25
SNLI,079-080,1.25
SNLI,081-082,15.26
SNORL,081-082,4.21
SPDL,076-077,0.25
SPDL,077-078,0.53
SPDL,081-082,0.53
SPIL,079-080,11.0
SPIL,080-081,30.0
SPIL,081-082,25.0
SRLI,079-080,0.0
SRLI,080-081,8.0
SRLI,081-082,10.18
SSHL,082-083,1.0
STC,060-061,20.0
STC,061-062,20.0
STC,062-063,20.0
STC,063-064,20.0
STC,064-065,10.0
STC,065-066,5.0
STC,066-067,10.0
STC,067-068,10.0
STC,069-070,0.0
STC,070-071,10.0
STC,071-072,10.0
STC,072-073,5.0
STC,073-074,10.0
STC,074-075,10.0
STC,075-076,10.0
STC,076-077,5.0
STC,077-078,0.53
STC,078-079,5.0
STC,079-080,0.79
STC,080-081,10.0
STC,081-082,0.5
SWBBL,067-068,26.58
SWBBL,069-070,13.36
SWBBL,070-071,23.5
SWBBL,071-072,10.63
SWBBL,072-073,19.68
SWBBL,073-074,0.0
SWBBL,074-075,11.84
SWBBL,075-076,0.0
SWBBL,076-077,1.0
SWBBL,077-078,6.0
SWBBL,078-079,6.05
SWBBL,079-080,0.65
SWBBL,080-081,0.75
SWBBL,081-082,4.36
SWMF,078-079,0.0
SWMF,079-080,0.0
SWMF,080-081,0.96
TPC,082-083,1.0
TRH,073-074,7.37
TRH,074-075,12.63
TRH,075-076,0.0
TRH,076-077,10.0
TRH,078-079,8.42
TRH,079-080,11.0
TRH,080-081,11.0
TRH,081-082,5.0
TTL,078-079,1.0
TTL,080-081,10.0
UAIL,079-080,0.54
UAIL,080-081,0.53
UAIL,081-082,0.23
UAIL,082-083,100.0
UHEWA,081-082,0.79
ULBSL,078-079,3.25
UMHL,072-073,100.0
UMHL,073-074,5.0
UMHL,074-075,5.0
UMHL,075-076,8.42
UMHL,076-077,5.26
UMHL,078-079,0.37
UMHL,081-082,0.37
UMRH,078-079,10.53
UMRH,079-080,0.29
UMRH,080-081,0.21
UMRH,081-082,0.26
UNL,068-069,680.0
UNL,069-070,760.0
UNL,070-071,860.0
UNL,071-072,990.0
UNL,072-073,1020.0
UNL,073-074,1270.0
UNL,074-075,700.0
UNL,075-076,770.0
UNL,076-077,100.0
UNL,077-078,650.0
UNL,078-079,1215.0
UNL,079-080,1580.0
UNL,080-081,1714.0
UNL,081-082,1842.0
UNLB,079-080,1.0
UPCL,078-079,0.45
UPCL,081-082,0.47
UPPER,080-081,1.0
USLB,073-074,4.0
USLB,074-075,2.13
USLB,075-076,5.0
VLBS,072-073,5.0
VLBS,073-074,5.0
VLBS,074-075,0.0
VLBS,075-076,0.0
VLBS,076-077,1.0
VLBS,077-078,1.06
VLBS,078-079,1.05
WNLB,077-078,0.5
