symbol,fiscal_year,dividend_pct
NLIC,071-072,1.31
NLIC,072-073,1.32
NLIC,073-074,28.53
NLIC,074-075,23.5
NLIC,075-076,20.0
NLIC,076-077,0.74
NLIC,077-078,15.79
NLIC,078-079,0.0
NLIC,079-080,21.05
NLIC,080-081,11.05
NLIC,081-082,16.05
NLICL,067-068,1.58
NLICL,069-070,0.0
NLICL,070-071,8.0
NLICL,071-072,1.58
NLICL,072-073,1.32
NLICL,074-075,12.0
NLICL,075-076,0.53
NLICL,076-077,1.0
NLICL,077-078,0.79
NLICL,078-079,6.5
NLICL,079-080,10.0
NLICL,080-081,10.0
NLICL,081-082,8.5
NLO,069-070,20.0
NLO,070-071,20.0
NLO,071-072,10.0
NLO,072-073,10.0
NLO,073-074,25.0
NLO,074-075,30.0
NLO,075-076,30.0
NLO,076-077,10.0
NLO,077-078,5.0
NLO,078-079,5.0
NLO,079-080,5.0
NLO,080-081,5.0
NLO,081-082,1.05
NMB,067-068,9.0
NMB,069-070,10.0
NMB,071-072,0.42
NMB,073-074,0.79
NMB,075-076,14.0
NMB,076-077,3.2
NMB,077-078,3.3
NMB,078-079,8.25
NMB,081-082,5.0
NMBMF,071-072,0.79
NMBMF,072-073,1.32
NMBMF,073-074,0.0
NMBMF,074-075,0.79
NMBMF,075-076,1.0
NMBMF,076-077,1.0
NMBMF,077-078,1.13
NMBMF,078-079,0.53
NMFBS,073-074,15.0
NMFBS,074-075,15.0
NMFBS,075-076,0.0
NMFBS,076-077,6.0
NMFBS,077-078,5.0
NMFBS,079-080,7.5
NMFBS,080-081,0.75
NMFBS,081-082,0.75
NRIC,076-077,2.5
NRIC,077-078,0.26
NRIC,078-079,0.25
NRIC,079-080,0.25
NRN,076-077,0.15
NRN,077-078,0.26
NRN,078-079,5.26
NRN,080-081,0.26
NRN,081-082,2.11
NTC,067-068,45.0
NTC,068-069,48.0
NTC,069-070,46.0
NTC,070-071,47.0
NTC,071-072,50.0
NTC,072-073,0.0
NTC,073-074,0.0
NTC,074-075,55.0
NTC,075-076,45.0
NTC,076-077,40.0
NTC,077-078,20.0
NTC,078-079,40.0
NTC,079-080,40.0
NTC,080-081,30.0
NTC,081-082,30.0
NUBL,067-068,0.42
NUBL,068-069,11.87
NUBL,069-070,11.58
NUBL,070-071,12.63
NUBL,071-072,13.1
NUBL,072-073,11.58
NUBL,073-074,14.04
NUBL,074-075,22.11
NUBL,075-076,0.0
NUBL,076-077,0.68
NUBL,077-078,1.55
NUBL,078-079,1.0
NUBL,081-082,7.0
OHL,071-072,1.05
OHL,072-073,6.32
OHL,073-074,6.21
OHL,074-075,11.32
OHL,075-076,10.79
OHL,079-080,5.26
OHL,080-081,0.26
PCBL,067-068,12.63
PCBL,068-069,7.58
PCBL,069-070,5.0
