symbol,companyName,securityName,sectorName,instrumentType,regulatoryBody,status,snapshot_date
SPL,SHUVAM POWER LIMITED,Shuvam Power Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
SRBL,Sunrise Bank Limited,Sunrise Bank Limited,Commercial Banks,Equity,Nepal Rastra Bank,D,2026-08-09
SRBLD83,Sunrise Bank Limited,10.25% Sunrise Bank Debenture 2083,Commercial Banks,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
SRD80,Sunrise Bank Limited,10% Sunrise Debenture 2080,Commercial Banks,Non-Convertible Debentures,Nepal Rastra Bank,D,2026-08-09
SRLI,Sanima Reliance Life Insurance Limited,Sanima Reliance Life Insurance Limited,Life Insurance,Equity,Nepal Insurance Board,A,2026-08-09
SRS,Shree Ram Sugar Mills Limited,Shree Ram Sugar Mills Limited,Manufacturing And Processing,Equity,Department of Industry,S,2026-08-09
SSHL,Shiva Shree Hydropower Limited,Shiva Shree Hydropower Ltd,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
STC,Salt Trading Corporation,Salt Trading Corporation,Tradings,Equity,Department of Industry,A,2026-08-09
STFL,Standard Finance Ltd.,Standard Finance Ltd.,Finance,Equity,Nepal Rastra Bank,D,2026-08-09
SUBBL,Subhechha Bikas Bank Limited,Subhechha Bikas Bank Limited,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
SUPRME,Supreme Development Bank Ltd.,Supreme Development Bank Ltd.,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
SWASTIK,SWASTIK LAGHUBITTA BITTIYA SANSTHA LTD.,Swastik Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
SYFL,Synergy Finance Ltd.,Synergy Finance Ltd.,Finance,Equity,Nepal Rastra Bank,D,2026-08-09
SYPNL,SY PANEL NEPAL LIMITED,SY Panel Nepal Limited,Manufacturing And Processing,Equity,Department of Industry,A,2026-08-09
TAMOR,Sanima Middle Tamor Hydropower Limited,Sanima Middle Tamor Hydropower Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
TBBL,Triveni Bikas Bank Limited,Triveni Bikas Bank Limited,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
TDBL,Tourism Development Bank Limited,Tourism Development Bank Limited,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
TMDBL,Tinau Mission Development Bank Ltd,Tinau Mission Development Bank Limited,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
TNBL,Tinau Development Bank Limited,Tinau Development Bank Limited,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
TPC,Terhathum Power Company Limited,Terhathum Power Company Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
TPKHL,Taksar Pikhuwa Khola Hydropower Ltd.,Taksar Pikhuwa Khola Hydropower Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
TRH,Taragaon Regency Hotel Limited,Taragaon Regency Hotel Limited,Hotels And Tourism,Equity,Ministry of Tourism,A,2026-08-09
TRHPR,Taragaon Regency Hotel Limited,Taragaon Regency Hotels Ltd. Preference Share,Hotels And Tourism,Preference Shares,Ministry of Tourism,D,2026-08-09
TSHL,Three Star Hydropower Ltd,Three Star Hydropower Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
TTL,Trade Tower Limited,Trade Tower Limited,Others,Equity,,A,2026-08-09
TVCL,Trishuli Jal Vidhyut Company Limited ,Trishuli Jal Vidhyut Company Limited ,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
UAIL,United Ajod Insurance Limited,United Ajod Insurance Limited,Non Life Insurance,Equity,Nepal Insurance Board,A,2026-08-09
UBBL,Udhyam Bikas Bank Limited,Udhyam Bikas Bank Limited,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
UFCL,Union Finance Co. Ltd.,Union Finance Co. Ltd.,Finance,Equity,Nepal Rastra Bank,D,2026-08-09
