id,businessDate,openPrice,highPrice,lowPrice,closePrice,totalTradedQuantity,totalTradedValue,previousDayClosePrice,fiftyTwoWeekHigh,fiftyTwoWeekLow,lastUpdatedTime,totalTrades,lastTradedPrice,averageTradedPrice,symbol,securityId
1800303,2025-08-06,530.0,530.0,523.0,525.93,48952,25755132.8,527.73,682.0,474.1,2025-08-06 14:59:53.509135000,485,526.0,526.13,NABIL,131
1800309,2025-08-06,391.0,391.0,385.0,385.51,63156,24412473.7,386.38,564.0,333.0,2025-08-06 14:59:56.690040000,338,386.5,386.54,NICA,139
1800368,2025-08-06,1359.0,1359.9,1330.0,1340.33,131256,176505433.8,1348.37,1696.0,1136.0,2025-08-06 14:59:57.661399000,1379,1339.0,1344.74,HDL,235
1800388,2025-08-06,897.1,897.1,873.0,880.16,13624,11982440.3,879.54,1214.0,835.0,2025-08-06 14:59:39.950747000,264,879.1,879.51,NTC,307
1800594,2025-08-06,1454.0,1520.0,1454.0,1491.75,126020,189088734.3,1483.42,1691.0,722.0,2025-08-06 14:59:50.154440000,1147,1498.0,1500.47,NRIC,2881
1800817,2025-08-07,534.9,534.9,525.6,527.36,63502,33510621.6,525.93,682.0,474.1,2025-08-07 14:59:52.824904000,465,528.8,527.71,NABIL,131
1800823,2025-08-07,392.8,392.8,383.0,384.68,83056,32003820.7,385.51,564.0,333.0,2025-08-07 14:59:58.374119000,468,384.1,385.33,NICA,139
1800882,2025-08-07,1355.0,1385.0,1340.2,1373.93,109838,150299326.3,1340.33,1696.0,1136.0,2025-08-07 14:59:57.328250000,1112,1376.0,1368.37,HDL,235
1800902,2025-08-07,883.0,888.0,879.0,880.49,19454,17143710.0,880.16,1214.0,835.0,2025-08-07 14:59:51.659787000,303,881.0,881.24,NTC,307
1801108,2025-08-07,1463.0,1537.0,1463.0,1519.31,150518,228748515.0,1491.75,1691.0,722.0,2025-08-07 14:59:59.226545000,983,1518.9,1519.74,NRIC,2881
1801331,2025-08-11,533.0,534.0,525.0,526.3,69423,36644323.0,527.36,682.0,474.1,2025-08-11 14:59:47.464464000,634,526.2,527.84,NABIL,131
